type,value,file,line_no,note
email,bob.jones@corp.local,app.log,1,
phone,+1-212-555-0199,app.log,2,
phone,+1-212-555-0199,app.log,3,
phone,+86 10 8888 6666,app.log,6,
phone,+44 20 7946 0958,app.log,7,
phone,+44 20 7946 0958,app.log,10,
phone,+1-212-555-0199,app.log,11,
usb_insert,usb_device,app.log,14,
email,x_admin@sub.domain.org,app.log,17,
phone,+44 20 7946 0958,app.log,18,
usb_insert,usb_device,app.log,21,
email,bob.jones@corp.local,app.log,22,
email,x_admin@sub.domain.org,app.log,23,
phone,+44 20 7946 0958,app.log,27,
usb_insert,usb_device,app.log,33,
email,carol+support@ecom-shop.co.uk,app.log,34,
usb_insert,usb_device,app.log,39,
email,alice.smith@example.com,app.log,41,
phone,+86 10 8888 6666,app.log,42,
usb_insert,usb_device,app.log,43,
phone,+1-212-555-0199,app.log,45,
usb_insert,usb_device,app.log,48,
email,alice.smith@example.com,app.log,49,
email,bob.jones@corp.local,app.log,50,
usb_insert,usb_device,app.log,51,
email,dev-null@nowhere.invalid,app.log,52,
phone,+1-212-555-0199,app.log,53,
email,x_admin@sub.domain.org,app.log,58,
email,carol+support@ecom-shop.co.uk,app.log,60,
usb_insert,usb_device,app.log,61,
phone,+44 20 7946 0958,app.log,62,
usb_insert,usb_device,app.log,63,
phone,+86 10 8888 6666,app.log,67,
usb_insert,usb_device,app.log,69,
email,x_admin@sub.domain.org,app.log,70,
email,x_admin@sub.domain.org,app.log,71,
email,bob.jones@corp.local,app.log,77,
email,dev-null@nowhere.invalid,app.log,79,
email,carol+support@ecom-shop.co.uk,app.log,81,
email,dev-null@nowhere.invalid,app.log,83,
phone,+44 20 7946 0958,app.log,84,
phone,+44 20 7946 0958,app.log,87,
email,x_admin@sub.domain.org,app.log,91,
email,carol+support@ecom-shop.co.uk,app.log,92,
email,x_admin@sub.domain.org,app.log,93,
usb_insert,usb_device,app.log,94,
email,alice.smith@example.com,app.log,96,
usb_insert,usb_device,app.log,99,
phone,+1-212-555-0199,app.log,100,
email,bob.jones@corp.local,app.log,101,
phone,+44 20 7946 0958,app.log,105,
phone,+44 20 7946 0958,app.log,109,
phone,+44 20 7946 0958,app.log,114,
usb_insert,usb_device,app.log,116,
email,x_admin@sub.domain.org,app.log,117,
email,dev-null@nowhere.invalid,app.log,122,
email,x_admin@sub.domain.org,app.log,123,
usb_insert,usb_device,app.log,124,
phone,+86 10 8888 6666,app.log,125,
email,dev-null@nowhere.invalid,app.log,126,
usb_insert,usb_device,app.log,128,
usb_insert,usb_device,app.log,129,
phone,+86 10 8888 6666,app.log,130,
email,dev-null@nowhere.invalid,app.log,131,
phone,+86 10 8888 6666,app.log,134,
email,x_admin@sub.domain.org,app.log,136,
phone,+1-212-555-0199,app.log,138,
phone,+44 20 7946 0958,app.log,139,
phone,+44 20 7946 0958,app.log,140,
phone,+86 10 8888 6666,app.log,143,
phone,+1-212-555-0199,app.log,145,
phone,+86 10 8888 6666,app.log,148,
phone,+44 20 7946 0958,app.log,152,
email,carol+support@ecom-shop.co.uk,app.log,154,
email,carol+support@ecom-shop.co.uk,app.log,156,
phone,+86 10 8888 6666,app.log,157,
email,carol+support@ecom-shop.co.uk,app.log,162,
email,x_admin@sub.domain.org,app.log,163,
usb_insert,usb_device,app.log,164,
email,bob.jones@corp.local,app.log,167,
usb_insert,usb_device,app.log,172,
email,carol+support@ecom-shop.co.uk,app.log,174,
phone,+86 10 8888 6666,app.log,179,
